State,All,Tornado,Wind,Hail,Year,Month
9,7,1,3,3,4,11
16,12,7,5,0,4,11
17,18,0,6,12,4,11
18,3,0,3,0,4,11
23,54,8,10,36,4,11
28,1,0,1,0,4,11
30,2,0,2,0,4,11
31,1,0,1,0,4,11
32,12,1,11,0,4,11
37,1,0,1,0,4,11
39,3,1,2,0,4,11
41,40,18,11,11,4,11
42,4,0,2,2,4,11
45,2,0,2,0,4,11
0,10,4,4,2,0,10
2,16,4,10,2,0,10
3,1,0,0,1,0,10
4,2,0,2,0,0,10
5,1,0,1,0,0,10
8,2,1,1,0,0,10
9,1,0,1,0,0,10
12,8,0,7,1,0,10
13,2,0,2,0,0,10
14,4,1,3,0,0,10
17,8,5,2,1,0,10
21,2,0,2,0,0,10
23,19,4,6,9,0,10
24,3,0,0,3,0,10
25,1,0,1,0,0,10
34,1,0,1,0,0,10
35,4,0,0,4,0,10
37,1,0,1,0,0,10
42,4,0,1,3,0,10
0,274,46,213,15,1,3
3,166,4,119,43,1,3
6,2,0,2,0,1,3
7,12,0,12,0,1,3
8,149,20,122,7,1,3
9,310,56,237,17,1,3
11,29,0,27,2,1,3
12,98,0,57,41,1,3
13,102,12,77,13,1,3
14,22,0,0,22,1,3
15,41,0,12,29,1,3
16,80,7,57,16,1,3
17,198,36,109,53,1,3
19,52,3,46,3,1,3
20,4,0,4,0,1,3
21,41,0,3,38,1,3
22,9,0,1,8,1,3
23,239,57,150,32,1,3
24,78,1,44,33,1,3
25,3,0,3,0,1,3
26,8,0,2,6,1,3
27,1,0,0,1,1,3
29,62,1,60,1,1,3
30,1,0,1,0,1,3
31,19,0,18,1,1,3
32,203,19,169,15,1,3
33,1,0,0,1,1,3
34,114,11,63,40,1,3
35,181,13,36,132,1,3
36,1,0,0,1,1,3
37,106,2,101,3,1,3
38,1,0,1,0,1,3
39,146,29,103,14,1,3
40,14,0,8,6,1,3
41,65,5,47,13,1,3
42,398,29,182,187,1,3
43,3,0,3,0,1,3
45,105,0,84,21,1,3
46,1,0,1,0,1,3
47,77,0,59,18,1,3
48,45,0,23,22,1,3
49,2,0,2,0,1,3
0,35,3,26,6,4,3
3,80,1,29,50,4,3
5,9,4,5,0,4,3
7,10,3,6,1,4,3
8,157,14,100,43,4,3
9,69,3,49,17,4,3
12,210,22,81,107,4,3
13,34,3,31,0,4,3
14,100,6,11,83,4,3
15,123,4,49,70,4,3
16,42,6,36,0,4,3
17,59,1,33,25,4,3
19,54,2,42,10,4,3
20,1,0,1,0,4,3
21,17,1,7,9,4,3
22,2,0,0,2,4,3
